Feature,Selection Count,Selection %
GM_P163-PWY:_L-lysine_fermentation_to_acetate_and_butanoate__REDCITCYC:_TCA_cycle_VI_(Helicobacter),13,92.85714285714286
GM_ORNDEG-PWY:_superpathway_of_ornithine_degradation__P163-PWY:_L-lysine_fermentation_to_acetate_and_butanoate,12,85.71428571428571
GM_PWY-5189:_tetrapyrrole_biosynthesis_II_(from_glycine)__PWY-7198:_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_IV,12,85.71428571428571
GM_ORNDEG-PWY:_superpathway_of_ornithine_degradation__PWY-6588:_pyruvate_fermentation_to_acetone,12,85.71428571428571
GM_PWY-5189:_tetrapyrrole_biosynthesis_II_(from_glycine)__PWY-6588:_pyruvate_fermentation_to_acetone,11,78.57142857142857
GM_HEME-BIOSYNTHESIS-II-1:_heme_b_biosynthesis_V_(aerobic)__P163-PWY:_L-lysine_fermentation_to_acetate_and_butanoate,11,78.57142857142857
GM_ORNDEG-PWY:_superpathway_of_ornithine_degradation__PWY-2941:_L-lysine_biosynthesis_II,11,78.57142857142857
GM_ORNDEG-PWY:_superpathway_of_ornithine_degradation__PWY-6167:_flavin_biosynthesis_II_(archaea),11,78.57142857142857
GM_PWY-2941:_L-lysine_biosynthesis_II__PWY-5189:_tetrapyrrole_biosynthesis_II_(from_glycine),11,78.57142857142857
LR_PWY-6588:_pyruvate_fermentation_to_acetone__VALSYN-PWY:_L-valine_biosynthesis,11,78.57142857142857
LR_PWY-8190:_L-glutamate_degradation_XI_(reductive_Stickland_reaction)__VALSYN-PWY:_L-valine_biosynthesis,10,71.42857142857143
GM_PWY-5189:_tetrapyrrole_biosynthesis_II_(from_glycine)__PWY-8190:_L-glutamate_degradation_XI_(reductive_Stickland_reaction),10,71.42857142857143
GM_ORNDEG-PWY:_superpathway_of_ornithine_degradation__PWY-7198:_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_IV,10,71.42857142857143
GM_PWY-6588:_pyruvate_fermentation_to_acetone__REDCITCYC:_TCA_cycle_VI_(Helicobacter),10,71.42857142857143
GM_ORNDEG-PWY:_superpathway_of_ornithine_degradation__P161-PWY:_acetylene_degradation_(anaerobic),10,71.42857142857143
GM_PWY-6588:_pyruvate_fermentation_to_acetone__PWY-8190:_L-glutamate_degradation_XI_(reductive_Stickland_reaction),10,71.42857142857143
